domain,variant,ground_truth_feasible,total_runs,terminal_status,outcome_correct,outcome_correct_rate,feasible_task_success,feasible_task_success_rate,goal_requirements_passed,goal_requirements_total,goal_coverage,initial_goal_requirements_passed,initial_goal_coverage,terminal_goal_coverage,delta_goal_coverage,declared_completion,false_completion,any_symbolic_plan,any_nonempty_symbolic_plan,val_valid_plan,identity_success,physical_plan_found,refinement_success,execution_attempted,physical_actions_attempted,physical_actions_succeeded,nonempty_plan_execution_completed,hidden_task_success,raw_vlm_requests,object_calls,initial_state_calls,goal_calls,cp_calls,high_level_replans,runtime_seconds,actual_selected_plan_length,actual_selected_action_sequence,terminal_failure_cause
kitchen,I4_MISSING_KETTLE,False,2,FM_STATE_FAILURE,False,0.0,,,0,12,,,,,,False,False,True,True,True,False,False,False,False,0,0,False,False,3.0,1,1,1,3,1.5,34.66327594900071,0,[],FM_STATE_FAILURE
kitchen,I5_MISSING_COFFEE_JAR,False,2,FM_STATE_FAILURE,False,0.0,,,0,12,,,,,,False,False,True,True,True,False,False,False,False,0,0,False,False,3.5,1,1,2,3,1.5,42.05926415700078,0,[],FM_STATE_FAILURE
living_room,F0_ALL_OBJECTS_IN_STAGING,True,2,PREDICTED_INFEASIBLE,False,0.0,False,0.0,0,10,0.0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0,0,False,False,7.0,2,2,4,6,3.0,28.68300722549975,0,[],UNREACHABLE_CORRECTED_GOAL
living_room,F1_LEFT_SAUCER_PREPLACED,True,2,PREDICTED_INFEASIBLE,False,0.0,False,0.0,2,10,0.2,2,0.2,0.2,0.0,True,True,True,False,True,True,False,True,True,0,0,False,False,5.5,2,2,4,3,1.5,25.84240188650074,0,[],UNREACHABLE_CORRECTED_GOAL
living_room,F2_LEFT_SAUCER_ON_SHARED,True,2,PREDICTED_INFEASIBLE,False,0.0,False,0.0,0,10,0.0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0,0,False,False,6.5,2,2,3,6,3.0,22.992023193999557,0,[],UNREACHABLE_CORRECTED_GOAL
living_room,F3_LEFT_CUP_ON_SHARED,True,2,IDENTITY_FAILURE,False,0.0,False,0.0,0,10,0.0,0,0.0,0.0,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,6.5,2,2,3,6,3.0,23.632191660999524,8,"pick-from(cup_1, personal_table_left) -> place-on(cup_1, personal_table_right) -> pick-from(cup_1, personal_table_right) -> place-on(cup_1, personal_table_left) -> pick-from(saucer_1, personal_table_left) -> place-on(saucer_1, personal_table_right) -> pick-from(saucer_1, personal_table_right) -> place-on(saucer_1, personal_table_left)",UNREACHABLE_CORRECTED_GOAL
living_room,F4_SAUCER_PREPLACED_CUP_ON_SHARED,True,2,IDENTITY_FAILURE,False,0.0,False,0.0,2,10,0.2,2,0.2,0.2,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,7.0,2,2,4,6,3.0,24.375556679999136,4,"pick-from(cup_1, personal_table_left) -> place-on(cup_1, personal_table_right) -> pick-from(saucer_1, personal_table_left) -> place-on(saucer_1, personal_table_right)",no class-compatible visible entity is close enough to 'cup_1'
living_room,F5_LEFT_PAIR_ON_SHARED,True,2,IDENTITY_FAILURE,False,0.0,False,0.0,0,10,0.0,0,0.0,0.0,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,6.0,2,2,2,6,3.0,32.118340185001216,8,"pick-from(cup_1, personal_table_left) -> place-on(cup_1, personal_table_right) -> pick-from(cup_1, personal_table_right) -> place-on(cup_1, personal_table_left) -> pick-from(saucer_1, personal_table_left) -> place-on(saucer_1, personal_table_right) -> pick-from(saucer_1, personal_table_right) -> place-on(saucer_1, personal_table_left)",UNREACHABLE_CORRECTED_GOAL
living_room,I0_NO_SHARED_TABLE,False,2,PREDICTED_INFEASIBLE,False,0.0,,,0,5,,,,,,False,False,False,False,False,False,False,False,False,0,0,False,False,7.0,2,2,4,6,3.0,26.77584136400219,0,[],UNREACHABLE_CORRECTED_GOAL
living_room,I1_NO_LEFT_PERSONAL_TABLE,False,2,PREDICTED_INFEASIBLE,False,0.0,,,0,5,,,,,,False,False,False,False,False,False,False,False,False,0,0,False,False,8.0,2,4,4,6,3.0,33.98560251699928,0,[],UNREACHABLE_CORRECTED_GOAL
living_room,I2_NO_PERSONAL_TABLES,False,2,PREDICTED_INFEASIBLE,False,0.0,,,0,5,,,,,,False,False,False,False,False,False,False,False,False,0,0,False,False,8.0,2,4,4,6,3.0,25.494761844500317,0,[],UNREACHABLE_CORRECTED_GOAL
living_room,I3_NO_TABLES,False,2,PREDICTED_INFEASIBLE,False,0.0,,,0,5,,,,,,False,False,False,False,False,False,False,False,False,0,0,False,False,7.0,2,2,4,6,3.0,28.2084780160003,0,[],UNREACHABLE_CORRECTED_GOAL
workshop,F0_MANUAL_FIRST_ONE_REGION,True,2,PREDICTED_INFEASIBLE,False,0.0,False,0.0,0,6,0.0,0,0.0,0.0,0.0,False,False,True,True,True,True,False,False,False,0,0,False,False,6.0,2,2,2,6,3.0,20.289538593498946,0,[],Fast Downward search exited with 12
workshop,F1_POWER_FIRST_ONE_REGION,True,2,PREDICTED_INFEASIBLE,False,0.0,False,0.0,0,6,0.0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0,0,False,False,7.0,2,3,3,6,3.0,13.877041350500804,0,[],Fast Downward search exited with 12
workshop,F2_MANUAL_FIRST_TWO_REGIONS,True,2,IDENTITY_FAILURE,False,0.0,False,0.0,0,6,0.0,0,0.0,0.0,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,6.5,2,2,3,6,3.0,14.641862138501892,5,"pick-from(screw_1, left_drawer) -> insert(screw_1, main_workbench_zone) -> pick-from(driver_1, left_drawer) -> drive(driver_1, screw_1, main_workbench_zone) -> place-on(driver_1, main_workbench_zone_surface)",no class-compatible visible entity is close enough to 'driver_1'
workshop,F3_POWER_FIRST_TWO_REGIONS,True,2,IDENTITY_FAILURE,False,0.0,False,0.0,0,6,0.0,0,0.0,0.0,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,6.5,2,2,3,6,3.0,12.139778119999391,5,"pick-from(screw_1, left_drawer) -> insert(screw_1, main_workbench_zone) -> pick-from(driver_1, left_drawer) -> drive(driver_1, screw_1, main_workbench_zone) -> place-on(driver_1, main_workbench_zone_surface)",no class-compatible visible entity is close enough to 'driver_1'
workshop,F4_MANUAL_FIRST_THREE_REGIONS,True,2,IDENTITY_FAILURE,False,0.0,False,0.0,0,6,0.0,0,0.0,0.0,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,7.0,2,3,3,6,3.0,13.63317753550109,4,"pick-from(driver_1, left_drawer) -> place-on(driver_1, main_workbench_zone_surface) -> pick-from(screw_1, left_drawer) -> place-on(screw_1, main_workbench_zone_surface)",no class-compatible visible entity is close enough to 'driver_1'
workshop,F5_POWER_FIRST_THREE_REGIONS,True,2,IDENTITY_FAILURE,False,0.0,False,0.0,0,6,0.0,0,0.0,0.0,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,7.0,2,3,3,6,3.0,15.194704771500255,4,"pick-from(driver_1, left_drawer) -> place-on(driver_1, main_workbench_zone_surface) -> pick-from(screw_1, left_drawer) -> place-on(screw_1, main_workbench_zone_surface)",no class-compatible visible entity is close enough to 'driver_1'
workshop,F6_MANUAL_ONLY,True,2,INVALID_PDDL,False,0.0,False,0.0,0,6,0.0,0,0.0,0.0,0.0,False,False,True,False,True,True,False,True,False,0,0,False,False,5.5,2,3,3,3,1.5,15.925135187500901,0,[],INVALID_PDDL
workshop,F7_POWER_ONLY,True,2,IDENTITY_FAILURE,False,0.0,False,0.0,0,6,0.0,0,0.0,0.0,0.0,False,False,True,True,True,False,False,False,False,0,0,False,False,8.0,2,4,4,6,3.0,14.01437881649872,2,"pick-from(screw_1, left_drawer) -> insert(screw_1, main_workbench_zone)",INCONSISTENT_CORRECTIVE_FACT_SET
workshop,I0_NO_DRIVER,False,2,PREDICTED_INFEASIBLE,True,0.5,,,0,3,,,,,,False,False,True,True,True,False,False,False,False,0,0,False,False,6.0,2,2,2,6,3.0,15.092750224501287,0,[],Fast Downward search exited with 12
workshop,I1_NO_SCREW,False,2,PREDICTED_INFEASIBLE,False,0.0,,,0,3,,,,,,False,False,True,True,True,False,False,False,False,0,0,False,False,7.0,2,3,3,6,3.0,16.790696006999497,2,"pick-from(driver_1, left_drawer) -> place-on(driver_1, main_workbench_zone_surface)",UNREACHABLE_CORRECTED_GOAL
